family	S1.dlength	L1.dlength	H1.dlength	L2.dlength	S2.dlength	L3.dlength	H2.dlength	L4.dlength	S3.dlength	L5.dlength	H3.dlength	L6.dlength	S4.dlength	L7.dlength	H4.dlength	L8.dlength	S5.dlength
arg	-1	8	2	3	1	62	9	2	-1	31	-1	8	0	2	-1	6	0
cys	1	6	2	3	1	21	2	4	0	54	6	5	1	2	2	3	2
gln	-2	6	-1	3	0	5	-3	4	-2	83	-4	3	-1	2	-1	6	0
glu1	-2	6	-1	3	-2	7	-3	3	8	83	-4	3	-1	2	0	4	0
glu2	-2	6	-1	3	0	6	-2	2	-1	61	14	4	-1	2	-1	4	0
ile	-3	8	2	6	-1	22	8	4	0	307	44	15	0	2	2	3	1
leu	-1	8	1	4	-1	21	2	4	0	280	37	31	-2	2	3	8	-2
lys	1	4	2	4	1	34	-4	7	-1	35	24	4	-1	4	0	6	-2
met	1	6	3	3	2	13	2	2	-1	114	3	27	1	2	0	8	-1
tyr	0	5	-2	3	0	14	1	6	-1	15	2	2	0	2	0	3	0
val	-1	8	2	3	2	21	9	6	-3	273	10	16	1	2	2	3	2
